t[s]	AI 0 [V]	AI 1 [V]	AI 2 [V]
-3.2	-5.15932	-5.18414	-5.7037
-3.1998	-5.1595	    -5.18389	-5.70395
-3.1996	-5.15949	-5.18369	-5.70398
-3.1994	-5.15939	-5.1836	-5.70394
-3.1992	-5.15933	-5.18347	-5.70414
-3.199	-5.15927	-5.18345	-5.70421
-3.1988	-5.15927	-5.18341	-5.70418
-3.1986	-5.1592	-5.1835	-5.70421
-3.1984	-5.15928	-5.18364	-5.70406
-3.1982	-5.1591	-5.18363	-5.704
-3.198	-5.15918	-5.18368	-5.70402
-3.1978	-5.15924	-5.18379	-5.70395
-3.1976	-5.159	-5.18388	-5.70393
-3.1974	-5.15907	-5.18408	-5.70383
-3.1972	-5.15914	-5.18425	-5.70387
-3.197	-5.15916	-5.18442	-5.70389
-3.1968	-5.15916	-5.18468	-5.70404
-3.1966	-5.15929	-5.18476	-5.70422
-3.1964	-5.15929	-5.18481	-5.70424
-3.1962	-5.15933	-5.18484	-5.70425
-3.196	-5.15929	-5.18486	-5.70437
-3.1958	-5.15935	-5.18493	-5.70445
-3.1956	-5.1594	-5.18479	-5.7045
-3.1954	-5.15942	-5.18494	-5.70446
-3.1952	-5.15946	-5.18498	-5.70437
-3.195	-5.15951	-5.1851	-5.70439
-3.1948	-5.1596	-5.18534	-5.70448
-3.1946	-5.15957	-5.18541	-5.70456
-3.1944	-5.15964	-5.18554	-5.70445
-3.1942	-5.15956	-5.18555	-5.7044
-3.194	-5.15954	-5.18553	-5.70428
-3.1938	-5.15943	-5.18553	-5.70427
-3.1936	-5.15942	-5.18545	-5.70406
-3.1934	-5.15945	-5.18532	-5.70426
-3.1932	-5.15942	-5.1852	-5.70407
-3.193	-5.15925	-5.1851	-5.70395
-3.1928	-5.15909	-5.18486	-5.70397
-3.1926	-5.15899	-5.18463	-5.70361
-3.1924	-5.15886	-5.18446	-5.70356
-3.1922	-5.15877	-5.18441	-5.70344
-3.192	-5.15874	-5.18427	-5.70355
-3.1918	-5.15873	-5.18412	-5.70335
-3.1916	-5.15871	-5.18416	-5.70334
-3.1914	-5.15858	-5.18415	-5.70333
-3.1912	-5.1586	-5.18423	-5.70337
-3.191	-5.15843	-5.18407	-5.70334
-3.1908	-5.15816	-5.18395	-5.70331
-3.1906	-5.15823	-5.18429	-5.70348
-3.1904	-5.15846	-5.1843	-5.7035
-3.1902	-5.15862	-5.18453	-5.70354
-3.19	-5.15866	-5.18473	-5.70388
-3.1898	-5.15902	-5.18505	-5.70401
-3.1896	-5.15898	-5.18537	-5.704
-3.1894	-5.15902	-5.1855	-5.70411
-3.1892	-5.15901	-5.18552	-5.70407
-3.189	-5.15899	-5.18567	-5.70417
-3.1888	-5.15897	-5.18578	-5.70423
-3.1886	-5.15901	-5.18591	-5.70429
-3.1884	-5.1591	-5.18595	-5.7042
-3.1882	-5.159	-5.18591	-5.70414
-3.188	-5.15899	-5.18594	-5.70408
-3.1878	-5.15895	-5.18587	-5.7042
-3.1876	-5.1588	-5.18586	-5.70414
-3.1874	-5.15874	-5.18577	-5.70412
-3.1872	-5.1588	-5.18567	-5.7041
-3.187	-5.15876	-5.18525	-5.70403
-3.1868	-5.15865	-5.18502	-5.70394
-3.1866	-5.15867	-5.18481	-5.7039
-3.1864	-5.15882	-5.18451	-5.70392
-3.1862	-5.15896	-5.18413	-5.70397
-3.186	-5.15908	-5.18384	-5.70386
-3.1858	-5.1591	-5.18373	-5.70385
-3.1856	-5.15932	-5.18373	-5.70388
-3.1854	-5.15929	-5.18371	-5.70391
-3.1852	-5.15936	-5.18368	-5.70397
-3.185	-5.15926	-5.18365	-5.70388
-3.1848	-5.15929	-5.18363	-5.70395
-3.1846	-5.15936	-5.18352	-5.704
-3.1844	-5.15942	-5.18362	-5.70394
-3.1842	-5.1593	-5.18376	-5.7039
-3.184	-5.15934	-5.18382	-5.70399
-3.1838	-5.1594	-5.18388	-5.70406
-3.1836	-5.1593	-5.18399	-5.70417
-3.1834	-5.15907	-5.18397	-5.70418
-3.1832	-5.15901	-5.18407	-5.70414
-3.183	-5.15899	-5.18411	-5.70401
-3.1828	-5.15891	-5.18412	-5.70396
-3.1826	-5.1589	-5.1842	-5.70408
-3.1824	-5.15895	-5.18422	-5.70408
-3.1822	-5.15888	-5.18417	-5.70391
-3.182	-5.15895	-5.18407	-5.70386
-3.1818	-5.15886	-5.18416	-5.70381
-3.1816	-5.15884	-5.18413	-5.70372
-3.1814	-5.15878	-5.18413	-5.70373
-3.1812	-5.15879	-5.18424	-5.70375
-3.181	-5.15893	-5.18415	-5.70375
-3.1808	-5.15908	-5.1843	-5.70382
-3.1806	-5.15898	-5.18426	-5.70386
-3.1804	-5.15904	-5.18434	-5.70391
-3.1802	-5.15909	-5.18456	-5.70406
-3.18	-5.15924	-5.18458	-5.7043
-3.1798	-5.15906	-5.18399	-5.70415
-3.1796	-5.15876	-5.18378	-5.70413
-3.1794	-5.15851	-5.1839	-5.70404
-3.1792	-5.15816	-5.18385	-5.70385
-3.179	-5.15791	-5.1837	-5.70366
-3.1788	-5.15779	-5.18351	-5.70356
-3.1786	-5.15749	-5.18347	-5.70343
-3.1784	-5.15738	-5.18362	-5.70331
-3.1782	-5.15737	-5.18357	-5.70323
-3.178	-5.1573	-5.18357	-5.70335
-3.1778	-5.15722	-5.18363	-5.7032
-3.1776	-5.15719	-5.18378	-5.70316
-3.1774	-5.15713	-5.18381	-5.70332
-3.1772	-5.15701	-5.18396	-5.7034
-3.177	-5.15698	-5.18407	-5.70339
-3.1768	-5.15687	-5.18425	-5.7034
-3.1766	-5.15693	-5.1844	-5.70359
-3.1764	-5.15694	-5.18442	-5.70357
-3.1762	-5.15689	-5.18454	-5.70347
-3.176	-5.15686	-5.18465	-5.70359
-3.1758	-5.15677	-5.18462	-5.70365
-3.1756	-5.15686	-5.18469	-5.70358
-3.1754	-5.15697	-5.18482	-5.70363
-3.1752	-5.15698	-5.18474	-5.70359
-3.175	-5.15684	-5.18504	-5.70359
-3.1748	-5.15686	-5.18516	-5.70369
-3.1746	-5.15692	-5.18522	-5.70377
-3.1744	-5.15688	-5.18539	-5.70374
-3.1742	-5.15688	-5.18555	-5.70373
-3.174	-5.15686	-5.18557	-5.70361
-3.1738	-5.15691	-5.18551	-5.70372
-3.1736	-5.15684	-5.18544	-5.70359
-3.1734	-5.15679	-5.18548	-5.70359
-3.1732	-5.15675	-5.18544	-5.7036
-3.173	-5.15668	-5.18538	-5.70362
-3.1728	-5.15662	-5.18517	-5.70361
-3.1726	-5.1566	-5.18493	-5.70368
-3.1724	-5.15645	-5.18474	-5.70359
-3.1722	-5.15652	-5.18468	-5.70356
-3.172	-5.15658	-5.1846	-5.70353
-3.1718	-5.15661	-5.18466	-5.70347
-3.1716	-5.1568	-5.18464	-5.70343
-3.1714	-5.15675	-5.18461	-5.70341
-3.1712	-5.15669	-5.18455	-5.70343
-3.171	-5.15672	-5.18463	-5.70342
-3.1708	-5.15689	-5.18456	-5.70333
-3.1706	-5.15683	-5.18453	-5.70335
-3.1704	-5.15684	-5.18458	-5.70333
-3.1702	-5.15712	-5.18481	-5.70341
-3.17	-5.15716	-5.18489	-5.70366
-3.1698	-5.15752	-5.18508	-5.70397
-3.1696	-5.1575	-5.18536	-5.70409
-3.1694	-5.15747	-5.18556	-5.70416
-3.1692	-5.15756	-5.18574	-5.70432
-3.169	-5.15764	-5.18576	-5.70426
-3.1688	-5.15782	-5.18588	-5.70419
-3.1686	-5.15796	-5.18595	-5.70407
-3.1684	-5.1579	-5.18597	-5.70426
-3.1682	-5.15778	-5.18597	-5.70436
-3.168	-5.15775	-5.18592	-5.70445
-3.1678	-5.15787	-5.18594	-5.70447
-3.1676	-5.15792	-5.18584	-5.70454
-3.1674	-5.15803	-5.18582	-5.70445
-3.1672	-5.15802	-5.18563	-5.70442
-3.167	-5.15805	-5.18539	-5.70443
-3.1668	-5.15803	-5.18521	-5.70438
-3.1666	-5.15819	-5.18497	-5.7042
-3.1664	-5.15814	-5.18469	-5.70396
-3.1662	-5.15809	-5.18443	-5.70399
-3.166	-5.15837	-5.18446	-5.70411
-3.1658	-5.15858	-5.18436	-5.70407
-3.1656	-5.15896	-5.18436	-5.70423
-3.1654	-5.1591	-5.18427	-5.70411
-3.1652	-5.15921	-5.18415	-5.70415
-3.165	-5.15946	-5.18433	-5.70427
-3.1648	-5.15957	-5.18442	-5.70449
-3.1646	-5.15974	-5.1844	-5.70452
-3.1644	-5.15974	-5.18438	-5.70463
-3.1642	-5.15998	-5.18454	-5.70466
-3.164	-5.15989	-5.18468	-5.7046
-3.1638	-5.15994	-5.18489	-5.70459
-3.1636	-5.1599	-5.18494	-5.70455
-3.1634	-5.15992	-5.18521	-5.70461
-3.1632	-5.15991	-5.18527	-5.7047
-3.163	-5.15993	-5.18531	-5.70473
-3.1628	-5.15996	-5.18534	-5.70482
-3.1626	-5.16009	-5.18542	-5.70487
-3.1624	-5.16014	-5.1857	-5.70485
-3.1622	-5.16025	-5.18569	-5.70498
-3.162	-5.16039	-5.18577	-5.70501
-3.1618	-5.1605	-5.18585	-5.70499
-3.1616	-5.1605	-5.18593	-5.70492
-3.1614	-5.1606	-5.18598	-5.70494
-3.1612	-5.16058	-5.18585	-5.70486
-3.161	-5.16064	-5.18585	-5.7047
-3.1608	-5.16075	-5.18596	-5.70462
-3.1606	-5.16085	-5.18608	-5.70468
-3.1604	-5.16088	-5.18614	-5.70469
-3.1602	-5.1609	-5.18616	-5.70475
-3.16	-5.16105	-5.18621	-5.70471
-3.1598	-5.16106	-5.18597	-5.70484
-3.1596	-5.1609	-5.18581	-5.70486
-3.1594	-5.16083	-5.18581	-5.70478
-3.1592	-5.16079	-5.1857	-5.70459
-3.159	-5.16059	-5.18581	-5.70439
-3.1588	-5.16057	-5.18594	-5.70435
-3.1586	-5.16046	-5.18581	-5.70438
-3.1584	-5.16042	-5.18585	-5.70431
-3.1582	-5.16031	-5.18579	-5.70425
-3.158	-5.16042	-5.18575	-5.7041
-3.1578	-5.16043	-5.18574	-5.70404
-3.1576	-5.16054	-5.18571	-5.70402
-3.1574	-5.16041	-5.18575	-5.704
-3.1572	-5.16052	-5.18574	-5.70403
-3.157	-5.16047	-5.1859	-5.70425
-3.1568	-5.16053	-5.18595	-5.7043
-3.1566	-5.16052	-5.18594	-5.70457
-3.1564	-5.16051	-5.18605	-5.70461
-3.1562	-5.16045	-5.18601	-5.7046
-3.156	-5.16042	-5.18597	-5.70467
-3.1558	-5.16043	-5.18578	-5.70473
-3.1556	-5.16043	-5.1856	-5.7048
-3.1554	-5.16062	-5.18553	-5.70489
-3.1552	-5.16055	-5.18548	-5.70485
-3.155	-5.16037	-5.18549	-5.70498
-3.1548	-5.16036	-5.1855	-5.70497
-3.1546	-5.16021	-5.18565	-5.70496
-3.1544	-5.16014	-5.1857	-5.7049
-3.1542	-5.16007	-5.18572	-5.70497
-3.154	-5.16005	-5.18574	-5.70506
-3.1538	-5.16012	-5.18575	-5.70504
-3.1536	-5.16014	-5.18576	-5.70506
-3.1534	-5.16014	-5.18574	-5.70508
-3.1532	-5.16017	-5.1856	-5.70486
-3.153	-5.15998	-5.18537	-5.70472
-3.1528	-5.15988	-5.18534	-5.70455
-3.1526	-5.15983	-5.18528	-5.70443
-3.1524	-5.15975	-5.18514	-5.70444
-3.1522	-5.15959	-5.18503	-5.70444
-3.152	-5.15949	-5.18504	-5.7044
-3.1518	-5.15956	-5.18504	-5.70432
-3.1516	-5.1595	-5.18507	-5.70429
-3.1514	-5.15961	-5.18501	-5.70421
-3.1512	-5.15968	-5.18504	-5.70428
-3.151	-5.1596	-5.18503	-5.70431
-3.1508	-5.15964	-5.18496	-5.70422
-3.1506	-5.15967	-5.18501	-5.70424
-3.1504	-5.15971	-5.1851	-5.70414
-3.1502	-5.15983	-5.18516	-5.70433
-3.15	-5.15988	-5.18526	-5.70423
-3.1498	-5.16006	-5.18564	-5.70441
-3.1496	-5.16002	-5.18604	-5.70439
-3.1494	-5.15991	-5.18608	-5.70426
-3.1492	-5.16011	-5.18617	-5.70424
-3.149	-5.16012	-5.18631	-5.70416
-3.1488	-5.16007	-5.18639	-5.70407
-3.1486	-5.16012	-5.18659	-5.70402
-3.1484	-5.16008	-5.18663	-5.70406
-3.1482	-5.16012	-5.18669	-5.70393
-3.148	-5.1602	-5.18671	-5.70395
-3.1478	-5.16012	-5.18683	-5.70397
-3.1476	-5.16031	-5.18665	-5.70396
-3.1474	-5.16026	-5.18648	-5.70401
-3.1472	-5.16024	-5.18636	-5.70407
-3.147	-5.1602	-5.18596	-5.70418
-3.1468	-5.16012	-5.18557	-5.7041
-3.1466	-5.16006	-5.1852	-5.70407
-3.1464	-5.16009	-5.18505	-5.70409
-3.1462	-5.16002	-5.18471	-5.70403
-3.146	-5.16001	-5.18449	-5.70398
-3.1458	-5.15996	-5.1842	-5.70396
-3.1456	-5.15996	-5.1841	-5.70385
-3.1454	-5.15997	-5.18389	-5.70375
-3.1452	-5.16	-5.1839	-5.70373
-3.145	-5.16003	-5.18391	-5.70383
-3.1448	-5.15979	-5.18374	-5.70395
-3.1446	-5.15976	-5.18379	-5.70414
-3.1444	-5.15979	-5.18408	-5.70429
-3.1442	-5.15964	-5.18415	-5.70443
-3.144	-5.15965	-5.18427	-5.7044
-3.1438	-5.15959	-5.18447	-5.70445
-3.1436	-5.15956	-5.18463	-5.70442
-3.1434	-5.15956	-5.1847	-5.70438
-3.1432	-5.15953	-5.18477	-5.70429
-3.143	-5.15954	-5.18484	-5.70429
-3.1428	-5.15955	-5.18486	-5.70436
-3.1426	-5.15952	-5.18497	-5.70433
-3.1424	-5.15955	-5.18498	-5.70438
-3.1422	-5.1596	-5.18511	-5.70441
-3.142	-5.15958	-5.1852	-5.70431
-3.1418	-5.15952	-5.18528	-5.70424
-3.1416	-5.15939	-5.18542	-5.70408
-3.1414	-5.15945	-5.18539	-5.70414
-3.1412	-5.15931	-5.18507	-5.70397
-3.141	-5.15881	-5.18463	-5.70374
-3.1408	-5.15846	-5.1845	-5.7035
-3.1406	-5.1581	-5.18423	-5.70325
-3.1404	-5.15775	-5.1842	-5.70309
-3.1402	-5.15754	-5.18412	-5.70303
-3.14	-5.15732	-5.18407	-5.70302
-3.1398	-5.15717	-5.18359	-5.70296
-3.1396	-5.15704	-5.18342	-5.70283
-3.1394	-5.15679	-5.18325	-5.70272
-3.1392	-5.15662	-5.18313	-5.7026
-3.139	-5.15634	-5.18306	-5.70266
-3.1388	-5.15618	-5.18299	-5.70241
-3.1386	-5.15605	-5.18299	-5.70229
-3.1384	-5.15603	-5.18288	-5.70225
-3.1382	-5.15602	-5.18288	-5.70225
-3.138	-5.15594	-5.18302	-5.70228
-3.1378	-5.15595	-5.183	-5.70231
-3.1376	-5.1559	-5.18303	-5.70235
-3.1374	-5.15598	-5.18319	-5.70262
-3.1372	-5.15595	-5.18335	-5.70261
-3.137	-5.15611	-5.18356	-5.70271
-3.1368	-5.15607	-5.1837	-5.70283
-3.1366	-5.15616	-5.18391	-5.70301
-3.1364	-5.15617	-5.18394	-5.70322
-3.1362	-5.15614	-5.18402	-5.70337
-3.136	-5.15617	-5.18418	-5.70345
-3.1358	-5.15622	-5.18411	-5.70347
-3.1356	-5.15626	-5.18411	-5.70369
-3.1354	-5.15641	-5.18426	-5.70368
-3.1352	-5.15637	-5.18421	-5.70376
-3.135	-5.15647	-5.18424	-5.70371
-3.1348	-5.15655	-5.1843	-5.70371
-3.1346	-5.15648	-5.18435	-5.70365
-3.1344	-5.15653	-5.18437	-5.70365
-3.1342	-5.15655	-5.18441	-5.70356
-3.134	-5.1567	-5.18441	-5.70361
-3.1338	-5.15678	-5.18445	-5.70363
-3.1336	-5.15674	-5.1845	-5.70352
-3.1334	-5.15675	-5.1845	-5.70352
-3.1332	-5.15681	-5.18451	-5.70354
-3.133	-5.15674	-5.18449	-5.70339
-3.1328	-5.15672	-5.18436	-5.70333
-3.1326	-5.15675	-5.1842	-5.70327
-3.1324	-5.15671	-5.1841	-5.70333
-3.1322	-5.15683	-5.18412	-5.70332
-3.132	-5.15686	-5.18414	-5.70317
-3.1318	-5.15688	-5.1841	-5.70306
-3.1316	-5.15683	-5.18415	-5.70318
-3.1314	-5.1569	-5.18407	-5.70315
-3.1312	-5.15698	-5.18398	-5.70314
-3.131	-5.15705	-5.18403	-5.70317
-3.1308	-5.15708	-5.18399	-5.70317
-3.1306	-5.15712	-5.18404	-5.70315
-3.1304	-5.15716	-5.18418	-5.70321
-3.1302	-5.15717	-5.18422	-5.70319
-3.13	-5.15748	-5.18438	-5.70344
-3.1298	-5.15766	-5.18463	-5.70397
-3.1296	-5.15775	-5.185	-5.70411
-3.1294	-5.15783	-5.18517	-5.70408
-3.1292	-5.15807	-5.18539	-5.70406
-3.129	-5.15813	-5.18549	-5.70413
-3.1288	-5.15819	-5.18567	-5.70419
-3.1286	-5.15816	-5.18559	-5.70423
-3.1284	-5.15819	-5.18576	-5.70421
-3.1282	-5.15808	-5.18593	-5.70425
-3.128	-5.15804	-5.186	-5.70451
-3.1278	-5.15798	-5.18604	-5.70441
-3.1276	-5.15798	-5.18608	-5.70425
-3.1274	-5.15792	-5.18602	-5.70416
-3.1272	-5.15819	-5.18612	-5.70435
-3.127	-5.15853	-5.18598	-5.70431
-3.1268	-5.15874	-5.18576	-5.70439
-3.1266	-5.15872	-5.18551	-5.70449
-3.1264	-5.15897	-5.18537	-5.70461
-3.1262	-5.15909	-5.18506	-5.70463
-3.126	-5.15918	-5.185	-5.70461
-3.1258	-5.15933	-5.18483	-5.7046
-3.1256	-5.15952	-5.18478	-5.70461
-3.1254	-5.15952	-5.18469	-5.70448
-3.1252	-5.15965	-5.18463	-5.70458
-3.125	-5.15982	-5.18473	-5.7046
