t[s]	AI 0 [V]	AI 1 [V]	AI 2 [V]
-3.2	-4.8871	    -4.64342	-4.82436
-3.1998	-4.88688	-4.6438	    -4.82397
-3.1996	-4.88685	-4.64408	-4.82347
-3.1994	-4.88697	-4.64429	-4.82285
-3.1992	-4.88695	-4.6448	    -4.82245
-3.199	-4.88672	-4.64528	-4.82203
-3.1988	-4.88621	-4.64571	-4.82168
-3.1986	-4.88573	-4.64625	-4.8217
-3.1984	-4.88503	-4.64684	-4.82192
-3.1982	-4.88449	-4.64748	-4.82211
-3.198	-4.88441	-4.6477	    -4.82206
-3.1978	-4.88464	-4.64767	-4.82198
-3.1976	-4.88456	-4.64777	-4.82203
-3.1974	-4.88467	-4.64796	-4.82232
-3.1972	-4.88458	-4.64782	-4.82278
-3.197	-4.8846	    -4.64749	-4.82343
-3.1968	-4.88461	-4.64686	-4.8241
-3.1966	-4.88454	-4.6463	    -4.82448
-3.1964	-4.88455	-4.64565	-4.82506
-3.1962	-4.88465	-4.64537	-4.82562
-3.196	-4.88461	-4.64478	-4.82613
-3.1958	-4.88472	-4.64416	-4.82664
-3.1956	-4.88463	-4.64357	-4.8272
-3.1954	-4.88419	-4.64334	-4.8276
-3.1952	-4.8838	    -4.64337	-4.82812
-3.195	-4.88349	-4.64348	-4.82874
-3.1948	-4.88345	-4.64373	-4.82943
-3.1946	-4.88327	-4.64389	-4.83002
-3.1944	-4.88301	-4.64402	-4.83055
-3.1942	-4.88287	-4.64406	-4.83091
-3.194	-4.88308	-4.64418	-4.83104
-3.1938	-4.88346	-4.6443	    -4.83065
-3.1936	-4.88385	-4.64446	-4.83021
-3.1934	-4.88415	-4.64449	-4.8299
-3.1932	-4.88449	-4.64481	-4.82978
-3.193	-4.88468	-4.64484	-4.82959
-3.1928	-4.88532	-4.64459	-4.8294
-3.1926	-4.88602	-4.64395	-4.82907
-3.1924	-4.88658	-4.64342	-4.82891
-3.1922	-4.88706	-4.64289	-4.82887
-3.192	-4.8875	    -4.64252	-4.82877
-3.1918	-4.88786	-4.64208	-4.82824
-3.1916	-4.88815	-4.64168	-4.82752
-3.1914	-4.88851	-4.64139	-4.82675
-3.1912	-4.88876	-4.64125	-4.82612
-3.191	-4.88906	-4.64125	-4.82545
-3.1908	-4.88931	-4.64131	-4.82475
-3.1906	-4.88955	-4.64125	-4.82404
-3.1904	-4.88949	-4.64128	-4.82327
-3.1902	-4.88923	-4.6418	    -4.82275
-3.19	-4.88913	-4.64245	-4.82209
-3.1898	-4.88895	-4.6429	    -4.82149
-3.1896	-4.88848	-4.64325	-4.82077
-3.1894	-4.88813	-4.64363	-4.82042
-3.1892	-4.88754	-4.64406	-4.82011
-3.189	-4.88708	-4.64455	-4.8204
-3.1888	-4.88651	-4.64514	-4.82062
-3.1886	-4.88611	-4.64551	-4.8207
-3.1884	-4.88574	-4.646	    -4.82091
-3.1882	-4.88534	-4.64661	-4.82103
-3.188	-4.88505	-4.64709	-4.82097
-3.1878	-4.88486	-4.64733	-4.82105
-3.1876	-4.88521	-4.64729	-4.8212
-3.1874	-4.8854	    -4.64728	-4.82125
-3.1872	-4.88565	-4.64741	-4.82132
-3.187	-4.88581	-4.6474	    -4.82126
-3.1868	-4.88596	-4.64738	-4.82124
-3.1866	-4.88613	-4.64762	-4.82125
-3.1864	-4.88623	-4.64778	-4.8212
-3.1862	-4.88627	-4.64772	-4.82122
-3.186	-4.88643	-4.64775	-4.82165
-3.1858	-4.88659	-4.64756	-4.82231
-3.1856	-4.88679	-4.64723	-4.82319
-3.1854	-4.88674	-4.64659	-4.8241
-3.1852	-4.8864	    -4.64618	-4.82487
-3.185	-4.88604	-4.64629	-4.82578
-3.1848	-4.88603	-4.64653	-4.82651
-3.1846	-4.88632	-4.6466 	-4.82692
-3.1844	-4.88661	-4.64648	-4.82685
-3.1842	-4.88685	-4.64647	-4.82667
-3.184	-4.88722	-4.6464	    -4.82656
-3.1838	-4.8875	    -4.64648	-4.82651
-3.1836	-4.88783	-4.6465	-4.82647
-3.1834	-4.88809	-4.64663	-4.82634
-3.1832	-4.88824	-4.64681	-4.82621
-3.183	-4.88839	-4.64695	-4.82606
-3.1828	-4.88869	-4.64722	-4.82586
-3.1826	-4.88915	-4.64704	-4.82564
-3.1824	-4.88973	-4.64666	-4.82562
-3.1822	-4.89029	-4.64643	-4.82549
-3.182	-4.89084	-4.64622	-4.82534
-3.1818	-4.89136	-4.64605	-4.8253
-3.1816	-4.8918	-4.6457	-4.82515
-3.1814	-4.89217	-4.64535	-4.82526
-3.1812	-4.89253	-4.64494	-4.82506
-3.181	-4.89293	-4.64441	-4.82471
-3.1808	-4.8932	-4.64382	-4.82444
-3.1806	-4.89355	-4.64306	-4.82411
-3.1804	-4.89375	-4.64233	-4.82342
-3.1802	-4.89349	-4.64169	-4.82261
-3.18	-4.89281	-4.64155	-4.82191
-3.1798	-4.89187	-4.64169	-4.8214
-3.1796	-4.89112	-4.64217	-4.82129
-3.1794	-4.89052	-4.64272	-4.82113
-3.1792	-4.89015	-4.64299	-4.82099
-3.179	-4.88978	-4.64337	-4.82082
-3.1788	-4.88951	-4.64367	-4.82079
-3.1786	-4.88922	-4.64408	-4.82067
-3.1784	-4.88919	-4.64444	-4.82074
-3.1782	-4.88904	-4.64492	-4.82078
-3.178	-4.88883	-4.64552	-4.82056
-3.1778	-4.88853	-4.64608	-4.82071
-3.1776	-4.8886	-4.64661	-4.82079
-3.1774	-4.88892	-4.64676	-4.82081
-3.1772	-4.88933	-4.6466	-4.8208
-3.177	-4.88971	-4.6467	-4.82078
-3.1768	-4.88991	-4.64686	-4.82096
-3.1766	-4.89009	-4.647	-4.82102
-3.1764	-4.89036	-4.64717	-4.82124
-3.1762	-4.89033	-4.6472	-4.82143
-3.176	-4.89045	-4.64725	-4.82165
-3.1758	-4.89053	-4.64731	-4.82202
-3.1756	-4.89068	-4.64738	-4.82226
-3.1754	-4.89114	-4.64743	-4.82224
-3.1752	-4.8918	-4.64734	-4.82198
-3.175	-4.89211	-4.64768	-4.82148
-3.1748	-4.89242	-4.64812	-4.82121
-3.1746	-4.89271	-4.64882	-4.82141
-3.1744	-4.89281	-4.64921	-4.82176
-3.1742	-4.89303	-4.64932	-4.82193
-3.174	-4.89311	-4.6491	-4.82208
-3.1738	-4.89327	-4.64894	-4.8223
-3.1736	-4.89339	-4.64882	-4.82241
-3.1734	-4.89367	-4.64886	-4.82251
-3.1732	-4.89366	-4.64895	-4.82259
-3.173	-4.89381	-4.64897	-4.82253
-3.1728	-4.89392	-4.6492	-4.82256
-3.1726	-4.89405	-4.64944	-4.82243
-3.1724	-4.89439	-4.64921	-4.82249
-3.1722	-4.89498	-4.64878	-4.82245
-3.172	-4.89575	-4.64835	-4.82226
-3.1718	-4.89623	-4.6479	-4.82208
-3.1716	-4.89676	-4.64749	-4.82187
-3.1714	-4.89718	-4.64707	-4.82146
-3.1712	-4.89763	-4.64668	-4.82105
-3.171	-4.89791	-4.64635	-4.82076
-3.1708	-4.89805	-4.6461	-4.82049
-3.1706	-4.89785	-4.64565	-4.82049
-3.1704	-4.89755	-4.64517	-4.8208
-3.1702	-4.89739	-4.6448	-4.8213
-3.17	-4.89715	-4.64427	-4.82178
-3.1698	-4.89659	-4.64392	-4.82219
-3.1696	-4.89616	-4.64387	-4.82264
-3.1694	-4.89557	-4.6439	-4.82316
-3.1692	-4.89507	-4.64391	-4.82353
-3.169	-4.89469	-4.6439	-4.82351
-3.1688	-4.89443	-4.644	-4.82335
-3.1686	-4.89429	-4.64419	-4.82307
-3.1684	-4.89408	-4.64468	-4.82285
-3.1682	-4.89389	-4.64512	-4.82249
-3.168	-4.89377	-4.64575	-4.82219
-3.1678	-4.8936	-4.64639	-4.822
-3.1676	-4.89349	-4.647	-4.8218
-3.1674	-4.89339	-4.64744	-4.82172
-3.1672	-4.89375	-4.64773	-4.82173
-3.167	-4.89403	-4.64757	-4.82164
-3.1668	-4.89444	-4.64749	-4.82174
-3.1666	-4.89457	-4.64767	-4.82193
-3.1664	-4.89463	-4.64766	-4.82205
-3.1662	-4.89488	-4.64758	-4.8222
-3.166	-4.89532	-4.64766	-4.8223
-3.1658	-4.89619	-4.64791	-4.82198
-3.1656	-4.89691	-4.6479	-4.8213
-3.1654	-4.89748	-4.64794	-4.82088
-3.1652	-4.89819	-4.64802	-4.82068
-3.165	-4.89882	-4.64802	-4.8205
-3.1648	-4.89929	-4.64805	-4.82034
-3.1646	-4.89931	-4.64826	-4.82016
-3.1644	-4.89935	-4.64864	-4.8198
-3.1642	-4.89926	-4.64917	-4.81944
-3.164	-4.89943	-4.64954	-4.81911
-3.1638	-4.89943	-4.64996	-4.81848
-3.1636	-4.89943	-4.65054	-4.81801
-3.1634	-4.89944	-4.65104	-4.81781
-3.1632	-4.89953	-4.65156	-4.81795
-3.163	-4.89966	-4.65174	-4.81797
-3.1628	-4.89957	-4.65172	-4.81838
-3.1626	-4.89958	-4.6518	-4.81876
-3.1624	-4.8995	-4.65173	-4.81893
-3.1622	-4.89966	-4.65183	-4.81897
-3.162	-4.90021	-4.65163	-4.81901
-3.1618	-4.90081	-4.65134	-4.81894
-3.1616	-4.90122	-4.65122	-4.81892
-3.1614	-4.9013	-4.65082	-4.81884
-3.1612	-4.90112	-4.65036	-4.81892
-3.161	-4.90085	-4.65014	-4.8193
-3.1608	-4.90068	-4.64979	-4.81977
-3.1606	-4.90041	-4.64942	-4.82022
-3.1604	-4.90026	-4.64904	-4.8207
-3.1602	-4.89995	-4.64854	-4.82095
-3.16	-4.89992	-4.64801	-4.82143
-3.1598	-4.89991	-4.64751	-4.82166
-3.1596	-4.89957	-4.64698	-4.82196
-3.1594	-4.89914	-4.64696	-4.82221
-3.1592	-4.89856	-4.64703	-4.82251
-3.159	-4.89823	-4.64684	-4.82277
-3.1588	-4.89791	-4.64688	-4.82317
-3.1586	-4.89759	-4.6467	-4.82341
-3.1584	-4.89734	-4.64672	-4.82378
-3.1582	-4.8971	-4.64652	-4.82416
-3.158	-4.89682	-4.64636	-4.82454
-3.1578	-4.89658	-4.64627	-4.82471
-3.1576	-4.89637	-4.64633	-4.82493
-3.1574	-4.89606	-4.64636	-4.82497
-3.1572	-4.89571	-4.64666	-4.82485
-3.157	-4.89578	-4.64702	-4.82457
-3.1568	-4.89624	-4.64722	-4.82455
-3.1566	-4.89686	-4.64723	-4.8243
-3.1564	-4.89758	-4.64749	-4.82375
-3.1562	-4.89823	-4.64766	-4.82296
-3.156	-4.89883	-4.64774	-4.8225
-3.1558	-4.89936	-4.64775	-4.82199
-3.1556	-4.8999	-4.64787	-4.82155
-3.1554	-4.90038	-4.64788	-4.82106
-3.1552	-4.90087	-4.64781	-4.82064
-3.155	-4.9014	-4.64783	-4.82035
-3.1548	-4.90189	-4.64772	-4.82027
-3.1546	-4.90223	-4.64785	-4.82005
-3.1544	-4.90211	-4.64816	-4.81978
-3.1542	-4.9019	-4.64858	-4.81929
-3.154	-4.90154	-4.64911	-4.81905
-3.1538	-4.90136	-4.64954	-4.81878
-3.1536	-4.90129	-4.65002	-4.8186
-3.1534	-4.90117	-4.6503	-4.81812
-3.1532	-4.90097	-4.65064	-4.81778
-3.153	-4.901	-4.65118	-4.81738
-3.1528	-4.90101	-4.65173	-4.81694
-3.1526	-4.90101	-4.65229	-4.81645
-3.1524	-4.90104	-4.65298	-4.81598
-3.1522	-4.90081	-4.65362	-4.81534
-3.152	-4.90035	-4.65414	-4.81511
-3.1518	-4.90021	-4.6542	-4.81536
-3.1516	-4.90019	-4.65389	-4.81597
-3.1514	-4.90014	-4.65349	-4.81691
-3.1512	-4.90007	-4.65296	-4.81776
-3.151	-4.89994	-4.65238	-4.81848
-3.1508	-4.8998	-4.65197	-4.81911
-3.1506	-4.89967	-4.65166	-4.81968
-3.1504	-4.89949	-4.65126	-4.82011
-3.1502	-4.8995	-4.65103	-4.82064
-3.15	-4.89928	-4.65061	-4.82122
-3.1498	-4.89931	-4.65019	-4.82167
-3.1496	-4.8993	-4.64972	-4.82196
-3.1494	-4.899	-4.64928	-4.82239
-3.1492	-4.89846	-4.64901	-4.82283
-3.149	-4.89798	-4.64926	-4.82328
-3.1488	-4.8975	-4.64928	-4.82372
-3.1486	-4.89723	-4.64946	-4.82408
-3.1484	-4.89686	-4.64946	-4.8245
-3.1482	-4.89651	-4.64948	-4.82493
-3.148	-4.89614	-4.64936	-4.82522
-3.1478	-4.89575	-4.64941	-4.82555
-3.1476	-4.89536	-4.6494	-4.82597
-3.1474	-4.89532	-4.64952	-4.8263
-3.1472	-4.89551	-4.64952	-4.82635
-3.147	-4.89559	-4.6496	-4.82601
-3.1468	-4.89597	-4.64956	-4.8257
-3.1466	-4.89673	-4.64909	-4.82568
-3.1464	-4.89754	-4.64858	-4.82547
-3.1462	-4.89815	-4.6482	-4.82497
-3.146	-4.89856	-4.64778	-4.82429
-3.1458	-4.89893	-4.64766	-4.82359
-3.1456	-4.89932	-4.64774	-4.82296
-3.1454	-4.8998	-4.64809	-4.82247
-3.1452	-4.90009	-4.64825	-4.82181
-3.145	-4.90052	-4.64838	-4.82134
-3.1448	-4.90077	-4.64854	-4.82095
-3.1446	-4.9012	-4.64843	-4.82061
-3.1444	-4.90139	-4.64816	-4.82017
-3.1442	-4.9014	-4.64819	-4.81974
-3.144	-4.90095	-4.64847	-4.81935
-3.1438	-4.90077	-4.64888	-4.81898
-3.1436	-4.9005	-4.64924	-4.81846
-3.1434	-4.9004	-4.64964	-4.81798
-3.1432	-4.90027	-4.65	-4.8175
-3.143	-4.90021	-4.65044	-4.81701
-3.1428	-4.90004	-4.65083	-4.81661
-3.1426	-4.89951	-4.65135	-4.8164
