t[s]	AI 0 [V]	AI 1 [V]	AI 2 [V]
-3.1734	-4.77503	-4.57433	-4.94709
-3.1732	-4.77457	-4.57478	-4.94714
-3.173	-4.77453	-4.5753	-4.94735
-3.1728	-4.7748	-4.57529	-4.9474
-3.1726	-4.77512	-4.57533	-4.94753
-3.1724	-4.77533	-4.57529	-4.9476
-3.1722	-4.77547	-4.57534	-4.9478
-3.172	-4.77557	-4.57541	-4.94798
-3.1718	-4.77563	-4.57559	-4.9483
-3.1716	-4.77581	-4.57569	-4.94868
-3.1714	-4.77586	-4.57568	-4.94896
-3.1712	-4.77609	-4.5758	-4.94933
-3.171	-4.77611	-4.57597	-4.94967
-3.1708	-4.77641	-4.57604	-4.94992
-3.1706	-4.77688	-4.5762	-4.95012
-3.1704	-4.77707	-4.57634	-4.94994
-3.1702	-4.77717	-4.57668	-4.94985
-3.17	-4.77729	-4.57703	-4.95001
-3.1698	-4.77732	-4.57697	-4.95026
-3.1696	-4.77743	-4.57682	-4.95058
-3.1694	-4.77767	-4.57659	-4.9508
-3.1692	-4.77787	-4.57644	-4.95088
-3.169	-4.77788	-4.57645	-4.95116
-3.1688	-4.77801	-4.57633	-4.95132
-3.1686	-4.77816	-4.57646	-4.95153
-3.1684	-4.7782	-4.57642	-4.95159
-3.1682	-4.77825	-4.57644	-4.95166
-3.168	-4.77817	-4.57657	-4.95171
-3.1678	-4.77851	-4.57644	-4.95177
-3.1676	-4.77894	-4.57599	-4.95177
-3.1674	-4.77939	-4.57553	-4.95156
-3.1672	-4.77978	-4.57536	-4.95145
-3.167	-4.78016	-4.57518	-4.95135
-3.1668	-4.7805	-4.57498	-4.95126
-3.1666	-4.78079	-4.57483	-4.95088
-3.1664	-4.78116	-4.57447	-4.95056
-3.1662	-4.78124	-4.57414	-4.95026
-3.166	-4.78111	-4.57384	-4.95005
-3.1658	-4.78093	-4.57335	-4.95012
-3.1656	-4.78066	-4.5729	-4.95046
-3.1654	-4.78029	-4.57234	-4.95104
-3.1652	-4.77956	-4.57192	-4.9517
-3.165	-4.77868	-4.5718	-4.95229
-3.1648	-4.77807	-4.572	-4.95245
-3.1646	-4.77744	-4.57205	-4.95248
-3.1644	-4.77703	-4.57206	-4.9523
-3.1642	-4.7768	-4.57231	-4.95204
-3.164	-4.77648	-4.5728	-4.95168
-3.1638	-4.77606	-4.57343	-4.95125
-3.1636	-4.77579	-4.57397	-4.9511
-3.1634	-4.77546	-4.57442	-4.95102
-3.1632	-4.77526	-4.57484	-4.95091
-3.163	-4.775	-4.57544	-4.95098
-3.1628	-4.77487	-4.57612	-4.95096
-3.1626	-4.7751	-4.5763	-4.95106
-3.1624	-4.77542	-4.57619	-4.95109
-3.1622	-4.77568	-4.57613	-4.95119
-3.162	-4.77574	-4.57611	-4.95142
-3.1618	-4.77579	-4.57622	-4.95163
-3.1616	-4.77576	-4.5762	-4.95198
-3.1614	-4.776	-4.57637	-4.95219
-3.1612	-4.77643	-4.57641	-4.9523
-3.161	-4.77711	-4.57657	-4.95217
-3.1608	-4.77792	-4.57663	-4.9518
-3.1606	-4.77856	-4.5764	-4.95151
-3.1604	-4.77901	-4.57617	-4.95114
-3.1602	-4.77947	-4.57607	-4.95089
-3.16	-4.77929	-4.57613	-4.95062
-3.1598	-4.77918	-4.57677	-4.95044
-3.1596	-4.77899	-4.57733	-4.94994
-3.1594	-4.77915	-4.57835	-4.94969
-3.1592	-4.77916	-4.57886	-4.94926
-3.159	-4.77916	-4.5794	-4.94899
-3.1588	-4.77904	-4.57988	-4.94914
-3.1586	-4.77902	-4.58027	-4.94948
-3.1584	-4.77912	-4.58034	-4.94991
-3.1582	-4.77898	-4.58029	-4.95029
-3.158	-4.77905	-4.58051	-4.95055
-3.1578	-4.77898	-4.58076	-4.95073
-3.1576	-4.77912	-4.5809	-4.95084
